id,comment
noya娅,#四川文理学院吃相太难看# 各位新生学弟学妹们 快跑 别来这个学校 什么都不好 交的钱还贼多  去各个城市也不方便 真的是处在犄角旮旯了 快跑 快跑 #四川文理学院##四川文理学院##四川文理学院运动会##四川文理学院吃相太难看##新生##大学生# 
良田的田,路过的每一个人至少说一个自己的优点：____&quot;#自信##求职##大学生# 良田的田的微博视频 
耳语lll,#曝姜太显夜店视频##大学生##小组作业# 汽水降低的温度是夏天的奇遇 
adam亚当GUA,大学生给学校造了三亩月季花园#园艺##大学生##亚当设计的花园##亚当的农大花园# 
三力sanliii,四川文理学院yue了#大学生##五一假期去哪个演唱会# 
黑眼圈小公猪00,清华大学申请出战#高校#清华摇班#大学生##清华大学# 黑眼圈小公猪00的微博视频 
高能冲浪指南,#这是什么新设计# 又活了一天#仲春欢乐启航##大学生# 高能冲浪指南的微博视频 
考古娱乐圈,席场如战场，原来大学生是这么整顿的 #吃席##大学生# 考古娱乐圈的微博视频 
恋爱动力学,#社会百态# #情感# #大学生#   大家的寝室关系都和睦吗，说说看吧 恋爱动力学的微博视频 
晓要考研,如何逼自己一周写完论 文初稿❗️❓  #考研##大学生# 
精通学堂,2023年专升本英语作文热点预测考到就赚到‼️#专升本 ##英语作文 ##作文预测 ##大学生 ##考试 ##精通学堂专升本 ##精通学堂##大学生活#大学生普通专升本专升本 
萤火虫如我,还有三四个月，又会有一波千万级的应届毕业生步入社会，🙏 不知道届时有否饱和的就业机会迎接着他们…#微博vc计划##应届毕业生##外贸##大学生##苏州##昆山##上海##深圳#大学生 
是醉猫呀,是醉猫呀 当代#大学生# #过年# 现状 是醉猫呀的微博视频 
venus张小璐,开学护肤选啥子？2张毛爷爷搞定精简护肤用对用好，开源节流，省下money买零食！1000元生活费吃好喝好用的好#护肤# #护肤好物# #护肤分享# #大学生# venus张小璐的微博视频 
iuUlululu耶,我真的害怕了 被封了三年的大学生开学了今天地铁上真的贼多人啊乌乌泱泱的挤死我了果然到了二七广场时人下了不少大学生最初的必逛之地当和一个小妹妹对视了很久想到好多年前那个青涩的自己在郑州坐地铁出去玩时激动的心情何况被封了三年没好好在郑州玩过的她们现在在她们眼里我也已经是个职 ...全文
Camille_猫,这才是抖音原始的味道！@一个阿美 @青寻 @小白驹📷# 大学生 # 舞蹈生 # 用专业耍酷 # 娱乐评论大赏 Camille_猫的微博视频 
venus张小璐,开学护肤选啥子？2张毛爷爷搞定精简护肤用对用好，开源节流，省下money买零食！1000元生活费吃好喝好用的好#护肤# #护肤好物# #护肤分享# #大学生# venus张小璐的微博视频 
iuUlululu耶,我真的害怕了 被封了三年的大学生开学了今天地铁上真的贼多人啊乌乌泱泱的挤死我了果然到了二七广场时人下了不少大学生最初的必逛之地当和一个小妹妹对视了很久想到好多年前那个青涩的自己在郑州坐地铁出去玩时激动的心情何况被封了三年没好好在郑州玩过的她们现在在她们眼里我也已经是个职 ...全文
Camille_猫,这才是抖音原始的味道！@一个阿美 @青寻 @小白驹📷# 大学生 # 舞蹈生 # 用专业耍酷 # 娱乐评论大赏 Camille_猫的微博视频 
A草原牧人,南航、东南大学，这就是所谓双一流的211/985高校。突然间对南京的大学只能呵呵了！#大学##大学生# 
剪了个梅,电视上大佐都说流利的中文，我汉语言的冲了（不是）#搞笑##大学生##迷惑行为大赏##亿点曝光计划# 剪了个梅的微博视频 
作家李召军,【清华帅哥保研本校羞涩不敢晒成绩，网友看完疯狂：连拿7次专业第1】2月5日，河南。一位小伙晒出自己的成绩：本以为当初专业课省状元上清华就是人生最高光的时刻。没想到第一学期拿下了全专业第一的排名。他自己都有点不相信。第二学期依然是第一只是感叹自己挺有福气。第三期拿第一还认为是偶然。直到 ...全文
希里大王,请问，全国解封了，高校周末不让请假出门住，也不是不让，必须要你有合理的理由，比如你病了，还得是大病需要过夜的病，或者你家里有非常重大的事不得不回去（需要出示你的病例、就诊记录、家长身份证复印件、家长手写知情书等等等等…）这合理吗？如果你是单纯想出门散心住两天不肯给你批假，这真的合 ...全文
o好大一个圆o,朋友们，不好意思打扰了我想来找一个人是2月11号14:20的EU27**航班，成都飞武汉，坐在某排F座的男生。我是坐你左边的女生，当时不好意思找你，如果方便的话现在可以留个联系方式吗？若冒犯立刻删🙏🙏🙏#海底捞人##找人##crush##武汉##成都##大学生# 武汉  ...全文
山西教育招生考试,【#山西师生2023寒假怎么过# 】你的大学生活怎么过？如何规划你的职业生涯？大学生生涯规划系列课程助你一臂之力！观看戳网页链接 #00后大学生的年终盘点# #生涯规划##职业生涯##大学生# 
吃货08042yu,#西南大学#swu 依托答辩，依托勾石，依谈西施不仅在重大都线上考试的时候坚持开学线下考试，而且在离开学还不到一周的时间宣布要在开学第一周考试，除了依托答辩，我找不到其他话来形容这个美丽的学校捏，鼠鼠我要寄了捏 ...全文
韦语节_小宝,开学咯#开学季##大学生# 
VinceLZH,🐑了个🐑家人们，喜提宿舍升级豪华双人间有幸成为学校第一波确诊康复者😂难忘的大学生活… VincentLZH#阿文的日常##确诊##校园生活##vlog##日常##大学生##隔离# 北京·清华大学 VinceLZH的微博视频 
有道考神建昆老师,#建昆聊聊# 大学每天上网课，你会选择“躺平”还是努力？这期视频给你答案，看完一定点个赞，转发给你还在“躺平”的朋友们！#00后##拒绝躺平一起动起来##大学生# 有道考神建昆老师的微博视频 
学霸发言,论大学生在高铁站如何排队又懒又守规矩#大学生# 
学生行为研究所,当大学生坐高铁回家正好碰上体育课录作业大写的尴尬#大学生# 学生行为研究所的微博视频 
迷惑学生日常,当英语老师要开会，体育老师被临时找来代课体育老师终于扳回一局 #大学生# #高中# 迷惑学生日常的微博视频 
大头大头大头儿子,【树】异国情侣Q&amp;A我俩的第二个问答上线啦 关于伦敦悉尼超长异国恋一年未见如何坚持…从分手到复合….祝大家 平安夜快乐啦🎄#异国恋##令人心动的vlog#大头大头大头儿子#大学生# 大头大头大头儿子的微博视频 
校园种草指南,大学生车站花式等车~#大学生##在高铁站做作业的大学生# 校园种草指南的微博视频 
微醺奶酪包llll,山东政法学院#大学生##山东政法学院# 
微醺奶酪包llll,山东政法学院#大学生##山东政法学院# 
敷衍熊,当代年大学生：体温正常，核栓正常，精神异常#敷衍熊##meme##大学生# 
Recoverrole,#广州天河区疫情防控##广州疫情防控##大学生# 谢谢广州给我带来的奇妙逃荒之旅 明天就走 不用这样戏弄我刺激我了今天先买了三号机票 结果突然航班取消 开始传言1号前必须走 原本不信 知道所有人都在慌张后 忙慌地找高铁 改签了三次 才有能回家的 12点半的车 7:39就得出发去高铁站 能打到的网约车 ...全文
可莉害了QAQ,#战马加入高校群聊#如果不甘于平庸，那就不要畏惧改变#战马##大学生# 眉山·四川工商学院眉山校区 可莉害了QAQ的微博视频 
新加坡眼,紧急寻人!紧急寻找一位NTU计算机学院本科三年级叫马广恒的同学，住校。他的家长从上周五开始联系他，一直联系不上，家长十分着急，希望马广恒同学在看到通知后即刻联系家长。也请有马广恒消息的同学直接私信我们，感谢大家。#新加坡##寻人##失踪##南洋理工大学##大学生# 
正主蕾蕾,原创是七河哦！真的好好听一个歌，好好看一个舞#跳舞##舞蹈##大学生##甜妹##宅舞# 天津·天津师范大学 正主蕾蕾的微博视频 
Recoverrole,#广州天河区疫情防控##广州疫情防控##大学生# 谢谢广州给我带来的奇妙逃荒之旅 明天就走 不用这样戏弄我刺激我了今天先买了三号机票 结果突然航班取消 开始传言1号前必须走 原本不信 知道所有人都在慌张后 忙慌地找高铁 改签了三次 才有能回家的 12点半的车 7:39就得出发去高铁站 能打到的网约车 ...全文
可莉害了QAQ,#战马加入高校群聊#如果不甘于平庸，那就不要畏惧改变#战马##大学生# 眉山·四川工商学院眉山校区 可莉害了QAQ的微博视频 
新加坡眼,紧急寻人!紧急寻找一位NTU计算机学院本科三年级叫马广恒的同学，住校。他的家长从上周五开始联系他，一直联系不上，家长十分着急，希望马广恒同学在看到通知后即刻联系家长。也请有马广恒消息的同学直接私信我们，感谢大家。#新加坡##寻人##失踪##南洋理工大学##大学生# 
正主蕾蕾,原创是七河哦！真的好好听一个歌，好好看一个舞#跳舞##舞蹈##大学生##甜妹##宅舞# 天津·天津师范大学 正主蕾蕾的微博视频 
